Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alabama,2014,1,1/4/2014,1057,992,26,196,29,38,38,66,17,21,25,264,51,,,,,,,,,,,,,,,,,
Alabama,2014,2,1/11/2014,1077,991,30,203,25,46,37,81,18,23,35,250,49,,,,,,,,,,,,,,,,,
Alabama,2014,3,1/18/2014,1048,975,21,210,34,31,34,77,19,24,19,243,60,,,,,,,,,,,,,,,,,
Alabama,2014,4,1/25/2014,1022,967,25,205,23,25,42,74,16,22,35,249,53,,,,,,,,,,,,,,,,,
Alabama,2014,5,2/1/2014,1041,954,18,200,26,38,26,69,15,18,24,269,50,,,,,,,,,,,,,,,,,
Alabama,2014,6,2/8/2014,992,910,24,180,25,31,31,71,19,21,24,235,45,,,,,,,,,,,,,,,,,
Alabama,2014,7,2/15/2014,941,884,26,191,19,23,27,72,17,13,26,221,50,,,,,,,,,,,,,,,,,
Alabama,2014,8,2/22/2014,990,933,15,232,28,37,21,53,14,20,25,242,57,,,,,,,,,,,,,,,,,
Alabama,2014,9,3/1/2014,959,876,16,202,28,29,28,60,19,19,28,219,48,,,,,,,,,,,,,,,,,
Alabama,2014,10,3/8/2014,989,903,18,184,27,25,20,45,21,18,27,253,59,,,,,,,,,,,,,,,,,
Alabama,2014,11,3/15/2014,976,911,20,201,25,37,16,60,24,17,34,242,51,,,,,,,,,,,,,,,,,
Alabama,2014,12,3/22/2014,937,869,23,176,24,34,17,46,,15,17,241,47,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2014,13,3/29/2014,927,876,27,214,25,34,,64,13,22,17,228,46,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2014,14,4/5/2014,951,876,24,194,17,31,11,64,16,21,20,210,38,,,,,,,,,,,,,,,,,
Alabama,2014,15,4/12/2014,924,862,15,185,31,29,16,47,17,11,24,239,63,,,,,,,,,,,,,,,,,
Alabama,2014,16,4/19/2014,986,922,19,215,28,40,15,47,14,20,16,237,56,,,,,,,,,,,,,,,,,
Alabama,2014,17,4/26/2014,914,848,11,187,23,24,18,61,15,28,19,236,44,,,,,,,,,,,,,,,,,
Alabama,2014,18,5/3/2014,939,861,19,199,34,23,15,50,12,14,13,233,59,,,,,,,,,,,,,,,,,
Alabama,2014,19,5/10/2014,918,858,23,176,25,44,20,53,11,22,21,236,35,,,,,,,,,,,,,,,,,
Alabama,2014,20,5/17/2014,931,864,19,192,19,43,18,49,14,27,26,227,61,,,,,,,,,,,,,,,,,
Alabama,2014,21,5/24/2014,899,845,25,172,21,26,,63,10,18,15,223,65,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2014,22,5/31/2014,940,879,18,188,20,26,11,61,16,12,21,251,59,,,,,,,,,,,,,,,,,
Alabama,2014,23,6/7/2014,941,845,23,197,14,32,13,63,16,19,27,221,44,,,,,,,,,,,,,,,,,
Alabama,2014,24,6/14/2014,877,808,14,186,26,33,20,59,,14,24,202,48,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2014,25,6/21/2014,849,785,17,182,27,34,17,50,16,18,16,222,47,,,,,,,,,,,,,,,,,
Alabama,2014,26,6/28/2014,848,782,11,189,19,29,16,55,16,18,18,214,48,,,,,,,,,,,,,,,,,
Alabama,2014,27,7/5/2014,865,804,18,188,18,30,12,59,13,21,24,232,32,,,,,,,,,,,,,,,,,
Alabama,2014,28,7/12/2014,865,792,17,173,22,28,12,54,17,18,22,198,60,,,,,,,,,,,,,,,,,
Alabama,2014,29,7/19/2014,895,822,14,179,10,31,19,47,11,16,23,234,37,,,,,,,,,,,,,,,,,
Alabama,2014,30,7/26/2014,882,813,24,187,33,32,11,45,18,16,26,209,40,,,,,,,,,,,,,,,,,
Alabama,2014,31,8/2/2014,870,810,14,200,25,23,14,46,10,15,18,223,47,,,,,,,,,,,,,,,,,
Alabama,2014,32,8/9/2014,939,875,16,199,22,26,15,61,15,16,25,249,50,,,,,,,,,,,,,,,,,
Alabama,2014,33,8/16/2014,910,843,14,193,27,39,15,51,20,22,17,217,48,,,,,,,,,,,,,,,,,
Alabama,2014,34,8/23/2014,888,809,13,171,22,39,17,61,,15,25,203,49,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2014,35,8/30/2014,860,790,15,200,15,36,15,47,14,15,29,197,35,,,,,,,,,,,,,,,,,
Alabama,2014,36,9/6/2014,885,803,11,175,17,34,,60,11,13,26,229,45,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2014,37,9/13/2014,884,830,20,186,28,28,,56,13,21,26,217,43,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2014,38,9/20/2014,902,837,12,200,20,42,18,52,,19,21,219,44,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2014,39,9/27/2014,942,860,19,201,24,34,19,54,24,18,16,229,59,,,,,,,,,,,,,,,,,
Alabama,2014,40,10/4/2014,873,811,21,205,26,30,14,47,15,19,26,202,42,,,,,,,,,,,,,,,,,
Alabama,2014,41,10/11/2014,924,845,21,196,23,40,12,40,15,18,32,230,49,,,,,,,,,,,,,,,,,
Alabama,2014,42,10/18/2014,937,883,24,209,20,37,19,47,11,18,22,245,55,,,,,,,,,,,,,,,,,
Alabama,2014,43,10/25/2014,915,850,22,202,18,56,14,54,14,,22,230,43,,,,,,,,,,,,Suppressed (counts 1-9),,,,,
Alabama,2014,44,11/1/2014,973,906,19,205,23,35,13,47,16,20,16,258,51,,,,,,,,,,,,,,,,,
Alabama,2014,45,11/8/2014,905,832,18,182,27,36,18,54,14,18,26,232,43,,,,,,,,,,,,,,,,,
Alabama,2014,46,11/15/2014,980,913,17,196,26,34,14,55,22,23,28,275,48,,,,,,,,,,,,,,,,,
Alabama,2014,47,11/22/2014,957,893,13,155,26,56,25,61,22,25,24,248,56,,,,,,,,,,,,,,,,,
Alabama,2014,48,11/29/2014,986,903,16,185,25,36,23,70,20,24,22,254,48,,,,,,,,,,,,,,,,,
Alabama,2014,49,12/6/2014,995,942,25,207,31,57,20,65,16,18,29,258,46,,,,,,,,,,,,,,,,,
Alabama,2014,50,12/13/2014,1036,975,23,197,28,50,28,66,18,16,31,278,54,,,,,,,,,,,,,,,,,
Alabama,2014,51,12/20/2014,1117,1036,27,191,29,48,26,73,22,23,25,291,67,,,,,,,,,,,,,,,,,
Alabama,2014,52,12/27/2014,1067,1000,24,202,25,46,40,73,23,16,23,273,50,,,,,,,,,,,,,,,,,
Alabama,2014,53,1/3/2015,1104,1036,27,205,26,45,44,67,20,27,24,295,53,,,,,,,,,,,,,,,,,
Alabama,2015,1,1/10/2015,1139,1069,22,200,36,59,48,73,30,26,20,273,48,,,,,,,,,,,,,,,,,
