,state,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Malignant neoplasms (C00-C97),Chronic lower respiratory diseases (J40-J47),Cerebrovascular diseases (I60-I69),Alzheimer disease (G30),Septicemia (A40-A41),Diabetes mellitus (E10-E14),Influenza and pneumonia (J09-J18),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
0,Alabama,2.6453208004321165,2.089085020352867,0.6816079015193833,0.5876335382713334,0.48624182849919995,0.20775348328695,0.24268043513688334,0.21604347604088334,1.3653700361783,1.2750088122096
1,Alaska,1.0672813982882667,1.2322733569603832,0.011735175665352024,0.004527038077737432,0.0,0.0,0.0,0.0,0.24679877445999998,0.1949846671148
2,Arizona,1.7259331968359,1.7197214645865166,0.5322691713018167,0.37225643765386673,0.4222447949929333,0.02848567464668598,0.2942340031336333,0.11891491949434857,1.3388795808209,1.2319090451208001
3,Arkansas,2.66137551509785,2.1584530697177664,0.7654881453450166,0.5104936356338667,0.47170817038483337,0.08338575530855782,0.3396788681820833,0.17588711157126666,1.3604407602263,1.1954080392518
4,California,1.5677741908867333,1.5216590047635499,0.34351606653618333,0.3998407105334,0.39546359339358333,0.037582843622358295,0.23409016434175,0.15739228183686665,0.8844100049716,0.8267189954388999
5,Colorado,1.3256664813117334,1.405680121233,0.4618095185184667,0.35121106994705004,0.3069935184087833,0.04799078827959149,0.17023244445736666,0.08003593386663858,0.889029141381,0.7741983756036
6,Connecticut,2.004020943650767,1.8619605017650167,0.3955930826515667,0.37976038107936666,0.27747895434573333,0.13508147436008333,0.17673117158471666,0.1444302636878833,1.7551575953481,1.6331368429459001
7,Delaware,2.0757703463222166,2.154214993779517,0.335969628203,0.4159885306566833,0.08801104958861747,0.0,0.011047778554391416,0.01153993527631886,1.0313673041412,0.9101488158974
8,District of Columbia,2.138552110877283,1.8780427466293332,0.0,0.10298513739460102,0.0,0.0,0.0026132722872927025,0.002375702079357002,1.3443647622707,1.2254457649609
9,Florida,2.24466944026,2.136851803693033,0.5813414201667667,0.59153969151435,0.3226101491733833,0.11692443257011667,0.28340713468165,0.13780711600679998,1.0258523616681001,0.9149330907007001
10,Georgia,1.7743344925795999,1.6776966594717666,0.45721071510356665,0.4182988620311,0.3807137665838166,0.15659515778471667,0.22420996224818332,0.1424675168548,0.9956209482008,0.9092684515214
11,Hawaii,1.8128300019397,1.7134327829033167,0.06828749646335475,0.4896459675859667,0.1524055841557383,0.0,0.017364164494306958,0.2383943331964,0.1930911837039,0.1697278376329
