,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
0,Alabama,2014,50229.0,46589.0,1031.0,10245.0,1278.0,1870.0,1004.0,3072.0,799.0,985.0,1244.0,12532.0,2627.0,0.0,0.0,4841799.0
1,Alabama,2015,50661.0,46809.0,1017.0,10073.0,1205.0,2227.0,1029.0,3216.0,857.0,995.0,1150.0,12745.0,2860.0,0.0,0.0,4852347.0
2,Alabama,2016,51130.0,47006.0,993.0,10165.0,1147.0,2432.0,933.0,3238.0,859.0,980.0,1171.0,12559.0,2843.0,0.0,0.0,4863525.0
3,Alabama,2017,52132.0,47890.0,1005.0,10152.0,1133.0,2512.0,1149.0,3404.0,940.0,937.0,1107.0,12910.0,2847.0,0.0,0.0,4874486.0
4,Alabama,2018,53146.0,49052.0,1003.0,10383.0,1132.0,2566.0,1237.0,3534.0,921.0,1006.0,967.0,13287.0,2976.0,0.0,0.0,4887681.0
5,Alabama,2019,53057.0,48845.0,1022.0,10030.0,1196.0,2608.0,962.0,3458.0,893.0,980.0,979.0,13277.0,3022.0,0.0,0.0,4903185.0
6,Alabama,2020,64354.0,59772.0,999.0,10423.0,1430.0,3095.0,1095.0,3434.0,949.0,1060.0,1150.0,14739.0,3314.0,6860.0,6406.0,5024279.0
7,Alabama,2021,66960.0,61867.0,1140.0,10205.0,1615.0,2674.0,986.0,3211.0,970.0,1124.0,1082.0,14898.0,3257.0,9569.0,8958.0,5048733.0
8,Alabama,2022,44182.0,40853.0,819.0,7281.0,1180.0,1905.0,564.0,2179.0,773.0,944.0,903.0,10484.0,2264.0,3787.0,3103.0,5056005.0
9,Alaska,2014,4081.0,3442.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,0.0,0.0,0.0,736283.0
10,Alaska,2015,4170.0,3467.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,10.0,0.0,0.0,737498.0
11,Alaska,2016,4305.0,3576.0,0.0,905.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,789.0,0.0,0.0,0.0,741456.0
12,Alaska,2017,4255.0,3513.0,0.0,871.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,739700.0
13,Alaska,2018,4289.0,3614.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,10.0,0.0,0.0,735139.0
14,Alaska,2019,4503.0,3720.0,0.0,969.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,807.0,0.0,0.0,0.0,731545.0
15,Alaska,2020,5076.0,4283.0,0.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,11.0,181.0,143.0,733391.0
16,Alaska,2021,6059.0,5172.0,0.0,1034.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,999.0,0.0,726.0,650.0,735707.0
17,Alaska,2022,3865.0,3317.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,14.0,157.0,134.0,731721.0
18,Arizona,2014,52761.0,47557.0,169.0,11726.0,1990.0,2557.0,685.0,3503.0,409.0,43.0,1174.0,11153.0,2277.0,0.0,0.0,6730413.0
19,Arizona,2015,54382.0,49018.0,211.0,11840.0,2074.0,2951.0,669.0,3685.0,499.0,231.0,1181.0,11579.0,2483.0,0.0,0.0,6829676.0
20,Arizona,2016,56583.0,50676.0,291.0,11839.0,2034.0,3083.0,836.0,3817.0,528.0,253.0,1635.0,12002.0,2548.0,0.0,0.0,6941072.0
21,Arizona,2017,57885.0,51617.0,271.0,12067.0,2046.0,3068.0,804.0,3816.0,626.0,391.0,1211.0,12479.0,2675.0,0.0,0.0,7044008.0
22,Arizona,2018,59495.0,53076.0,131.0,12127.0,2033.0,3017.0,1070.0,3851.0,904.0,612.0,1133.0,12629.0,2815.0,0.0,0.0,7158024.0
23,Arizona,2019,60450.0,53749.0,118.0,12589.0,2173.0,3059.0,944.0,3668.0,892.0,737.0,947.0,12651.0,2850.0,0.0,0.0,7278717.0
24,Arizona,2020,78257.0,70296.0,197.0,13104.0,2609.0,3321.0,1150.0,3794.0,1137.0,784.0,1083.0,14724.0,3297.0,9575.0,8810.0,7151502.0
25,Arizona,2021,82104.0,73546.0,379.0,12944.0,2532.0,2753.0,936.0,3527.0,1083.0,847.0,887.0,14695.0,3296.0,13844.0,12776.0,7227450.0
26,Arizona,2022,54729.0,48784.0,229.0,9581.0,1754.0,1992.0,624.0,2514.0,827.0,597.0,1337.0,10538.0,2400.0,4883.0,3990.0,7408017.0
27,Arkansas,2014,30508.0,28230.0,354.0,6612.0,819.0,1211.0,600.0,2149.0,156.0,583.0,192.0,7583.0,1563.0,0.0,0.0,2967392.0
28,Arkansas,2015,30830.0,28452.0,270.0,6581.0,878.0,1452.0,607.0,2236.0,109.0,660.0,87.0,7712.0,1587.0,0.0,0.0,2978048.0
29,Arkansas,2016,30847.0,28420.0,170.0,6471.0,894.0,1445.0,428.0,2172.0,131.0,644.0,110.0,7869.0,1536.0,0.0,0.0,2989918.0
30,Arkansas,2017,31707.0,29117.0,184.0,6412.0,1152.0,1424.0,565.0,2466.0,126.0,622.0,0.0,8079.0,1527.0,0.0,0.0,3001345.0
